gender,speaker,phoneme,phoneme_in_ascii,F0,F1,F2,F3
1,6,2,IH,133.0,420.0,2000.0,2660.0
1,6,2,IH,125.0,313.0,2000.0,2750.0
1,6,3,EH,120.0,600.0,1860.0,2500.0
1,6,3,EH,114.0,570.0,1830.0,2570.0
1,6,4,AE,119.0,676.0,1670.0,2540.0
1,6,4,AE,125.0,725.0,1687.0,2500.0
1,6,5,AH,125.0,726.0,1270.0,2560.0
1,6,6,AA,125.0,740.0,1100.0,2680.0
1,6,8,UH,120.0,456.0,1080.0,2520.0
1,6,8,UH,120.0,450.0,1140.0,2600.0
1,6,9,UW,125.0,313.0,838.0,2340.0
1,6,9,UW,125.0,288.0,938.0,2450.0
1,6,10,ER,120.0,503.0,1305.0,1775.0
1,6,10,ER,120.0,505.0,1320.0,1750.0
1,7,1,IY,186.0,320.0,2320.0,3120.0
1,7,1,IY,172.0,310.0,2280.0,3020.0
1,7,2,IH,170.0,410.0,2040.0,2715.0
1,7,3,EH,146.0,614.0,1840.0,2770.0
1,7,4,AE,143.0,740.0,1800.0,2450.0
1,7,4,AE,162.0,775.0,1810.0,2200.0
1,7,5,AH,160.0,640.0,1250.0,2400.0
1,7,6,AA,163.0,650.0,980.0,2350.0
1,7,7,AO,145.0,430.0,720.0,2450.0
1,7,7,AO,171.0,510.0,800.0,2500.0
1,7,9,UW,175.0,380.0,1040.0,2260.0
1,7,10,ER,167.0,570.0,1300.0,1750.0
1,7,10,ER,157.0,565.0,1370.0,1710.0
1,8,1,IY,109.0,218.0,2380.0,3100.0
1,8,2,IH,103.0,206.0,2130.0,2570.0
1,8,5,AH,108.0,640.0,1300.0,2300.0
1,8,5,AH,104.0,624.0,1350.0,2410.0
1,8,7,AO,109.0,578.0,970.0,2460.0
1,8,8,UH,111.0,467.0,1110.0,2400.0
1,8,8,UH,105.0,475.0,1220.0,2310.0
1,8,9,UW,107.0,270.0,910.0,2200.0
1,8,9,UW,108.0,260.0,975.0,2320.0
1,8,10,ER,107.0,460.0,1400.0,1790.0
1,8,10,ER,103.0,425.0,1410.0,1760.0
1,9,1,IY,175.0,316.0,2200.0,2800.0
1,9,1,IY,175.0,280.0,2275.0,2775.0
1,9,2,IH,167.0,450.0,1820.0,2475.0
1,9,2,IH,167.0,434.0,1850.0,2425.0
1,9,3,EH,157.0,582.0,1725.0,2375.0
1,9,3,EH,158.0,586.0,1800.0,2425.0
1,9,4,AE,150.0,600.0,1750.0,2375.0
1,9,5,AH,160.0,641.0,1120.0,2225.0
1,9,6,AA,144.0,708.0,1054.0,2420.0
1,9,7,AO,146.0,614.0,848.0,2200.0
1,9,7,AO,143.0,600.0,860.0,2175.0
1,9,8,UH,167.0,500.0,1000.0,2325.0
1,9,8,UH,167.0,500.0,1000.0,2325.0
1,9,9,UW,167.0,334.0,1150.0,2200.0
1,9,9,UW,183.0,312.0,1020.0,2300.0
1,9,10,ER,157.0,518.0,1305.0,1570.0
1,9,10,ER,157.0,504.0,1210.0,1510.0
1,10,1,IY,129.0,260.0,2260.0,2820.0
1,10,1,IY,125.0,250.0,2200.0,2825.0
1,10,2,IH,146.0,400.0,2040.0,2500.0
1,10,2,IH,144.0,389.0,2000.0,2425.0
1,10,3,EH,126.0,500.0,1870.0,2500.0
1,10,3,EH,125.0,500.0,1775.0,2450.0
1,10,4,AE,110.0,660.0,1650.0,2500.0
1,10,4,AE,120.0,624.0,1700.0,2475.0
1,10,5,AH,122.0,650.0,1220.0,2550.0
1,10,5,AH,120.0,672.0,1260.0,2500.0
1,10,6,AA,114.0,750.0,1080.0,2680.0
1,10,6,AA,114.0,777.0,1026.0,2625.0
1,10,7,AO,115.0,580.0,800.0,2650.0
1,10,7,AO,117.0,585.0,819.0,2625.0
1,10,8,UH,127.0,461.0,993.0,2350.0
1,10,9,UW,140.0,280.0,950.0,2300.0
1,10,9,UW,133.0,266.0,920.0,2300.0
1,10,10,ER,128.0,500.0,1340.0,1700.0
1,10,10,ER,133.0,532.0,1275.0,1600.0
1,11,1,IY,146.0,248.0,2225.0,3100.0
1,11,1,IY,140.0,238.0,2175.0,3075.0
1,11,2,IH,150.0,405.0,1925.0,2550.0
1,11,2,IH,138.0,416.0,1940.0,2600.0
1,11,4,AE,145.0,725.0,1700.0,2425.0
1,11,4,AE,127.0,710.0,1650.0,2220.0
1,11,5,AH,136.0,627.0,1038.0,2360.0
1,11,7,AO,140.0,560.0,840.0,2500.0
1,11,8,UH,150.0,495.0,1080.0,2275.0
1,11,8,UH,143.0,430.0,1030.0,2275.0
1,11,9,UW,162.0,290.0,760.0,2300.0
1,11,9,UW,157.0,315.0,850.0,2025.0
1,11,10,ER,150.0,511.0,1561.0,1876.0
1,11,10,ER,138.0,530.0,1450.0,1887.0
1,12,1,IY,110.0,220.0,2410.0,3000.0
1,12,1,IY,125.0,240.0,2440.0,3280.0
1,12,2,IH,120.0,450.0,1880.0,2450.0
1,12,2,IH,118.0,380.0,1930.0,2420.0
1,12,3,EH,115.0,560.0,1650.0,2300.0
1,12,3,EH,123.0,560.0,1720.0,2300.0
1,12,4,AE,110.0,680.0,1720.0,2330.0
1,12,4,AE,133.0,630.0,1680.0,2280.0
1,12,6,AA,110.0,740.0,1240.0,2280.0
1,12,8,UH,130.0,400.0,1200.0,2210.0
1,12,8,UH,110.0,420.0,1230.0,2230.0
1,12,9,UW,122.0,300.0,900.0,2130.0
1,12,9,UW,123.0,260.0,1010.0,2240.0
1,12,10,ER,125.0,400.0,1450.0,1650.0
1,12,10,ER,128.0,360.0,1410.0,1640.0
1,13,1,IY,142.0,290.0,2290.0,2600.0
1,13,1,IY,135.0,260.0,2290.0,2700.0
1,13,2,IH,132.0,390.0,1950.0,2550.0
1,13,4,AE,125.0,660.0,1630.0,2500.0
1,13,4,AE,132.0,670.0,1630.0,2380.0
1,13,5,AH,140.0,600.0,1220.0,2530.0
1,13,5,AH,125.0,600.0,1210.0,2430.0
1,13,6,AA,128.0,670.0,1100.0,2700.0
1,13,7,AO,127.0,510.0,720.0,2450.0
1,13,7,AO,120.0,480.0,710.0,2540.0
1,13,8,UH,140.0,440.0,1030.0,2400.0
1,13,9,UW,127.0,350.0,720.0,2750.0
1,13,9,UW,140.0,380.0,740.0,2880.0
1,13,10,ER,128.0,430.0,1370.0,1610.0
1,13,10,ER,135.0,440.0,1360.0,1600.0
1,14,1,IY,114.0,228.0,2350.0,2860.0
1,14,1,IY,118.0,220.0,2350.0,2920.0
1,14,3,EH,106.0,445.0,2020.0,2420.0
1,14,3,EH,115.0,470.0,2020.0,2500.0
1,14,4,AE,103.0,721.0,1680.0,2400.0
1,14,4,AE,109.0,750.0,1710.0,2440.0
1,14,6,AA,98.0,686.0,1078.0,2570.0
1,14,7,AO,102.0,560.0,665.0,2620.0
1,14,7,AO,106.0,550.0,650.0,2700.0
1,14,8,UH,112.0,448.0,980.0,2370.0
1,14,8,UH,104.0,410.0,940.0,2370.0
1,14,9,UW,116.0,232.0,696.0,2200.0
1,14,9,UW,117.0,222.0,665.0,2080.0
1,14,10,ER,120.0,432.0,1300.0,1400.0
1,14,10,ER,111.0,420.0,1300.0,1570.0
1,15,1,IY,121.0,230.0,2100.0,2850.0
1,15,1,IY,118.0,240.0,2000.0,2980.0
1,15,2,IH,130.0,365.0,1900.0,2340.0
1,15,2,IH,119.0,300.0,2040.0,2560.0
1,15,4,AE,124.0,660.0,1800.0,2150.0
1,15,5,AH,120.0,660.0,1000.0,2380.0
1,15,5,AH,110.0,660.0,960.0,2450.0
1,15,7,AO,117.0,500.0,620.0,2250.0
1,15,7,AO,106.0,550.0,700.0,2550.0
1,15,8,UH,140.0,390.0,730.0,2180.0
1,15,8,UH,130.0,360.0,740.0,2200.0
1,15,9,UW,131.0,260.0,720.0,2100.0
1,15,9,UW,132.0,260.0,740.0,2040.0
1,15,10,ER,125.0,450.0,1230.0,1600.0
1,15,10,ER,127.0,460.0,1300.0,1650.0
1,16,1,IY,150.0,300.0,2355.0,3250.0
1,16,1,IY,150.0,300.0,2460.0,3280.0
1,16,2,IH,160.0,385.0,2242.0,2805.0
1,16,2,IH,150.0,407.0,2250.0,2780.0
1,16,3,EH,140.0,504.0,2090.0,2720.0
1,16,3,EH,146.0,543.0,1980.0,2640.0
1,16,4,AE,133.0,680.0,1958.0,2542.0
1,16,4,AE,141.0,708.0,1840.0,2535.0
1,16,5,AH,150.0,675.0,1320.0,2550.0
1,16,5,AH,150.0,704.0,1393.0,2550.0
1,16,6,AA,137.0,825.0,1168.0,2750.0
1,16,6,AA,135.0,840.0,1210.0,2680.0
1,16,8,UH,143.0,443.0,1273.0,2430.0
1,16,8,UH,153.0,459.0,1286.0,2410.0
1,16,9,UW,146.0,395.0,1300.0,2160.0
1,16,9,UW,153.0,400.0,1320.0,2150.0
1,16,10,ER,140.0,532.0,1500.0,1890.0
1,16,10,ER,146.0,538.0,1460.0,1818.0
1,17,1,IY,120.0,264.0,2290.0,2700.0
1,17,1,IY,128.0,256.0,2305.0,2635.0
1,17,2,IH,112.0,380.0,1880.0,2440.0
1,17,2,IH,115.0,346.0,1930.0,2390.0
1,17,3,EH,100.0,510.0,1780.0,2300.0
1,17,3,EH,108.0,520.0,1730.0,2275.0
1,17,4,AE,100.0,630.0,1770.0,2350.0
1,17,4,AE,105.0,630.0,1642.0,2170.0
1,17,5,AH,103.0,601.0,1273.0,2130.0
1,17,6,AA,95.0,703.0,1092.0,2320.0
1,17,7,AO,97.0,565.0,780.0,2350.0
1,17,7,AO,106.0,584.0,849.0,2460.0
1,17,8,UH,105.0,420.0,1100.0,2140.0
1,17,8,UH,111.0,422.0,1200.0,2175.0
1,17,9,UW,117.0,315.0,1080.0,2260.0
1,17,9,UW,125.0,326.0,1125.0,2210.0
1,17,10,ER,111.0,444.0,1300.0,1625.0
1,17,10,ER,109.0,469.0,1288.0,1600.0
1,18,1,IY,124.0,210.0,2100.0,3090.0
1,18,1,IY,130.0,220.0,2080.0,3180.0
1,18,2,IH,128.0,280.0,2000.0,2710.0
1,18,2,IH,130.0,310.0,1950.0,2670.0
1,18,3,EH,121.0,470.0,1910.0,2580.0
1,18,4,AE,116.0,640.0,1620.0,2200.0
1,18,4,AE,118.0,650.0,1580.0,2360.0
1,18,5,AH,121.0,610.0,1100.0,2230.0
1,18,5,AH,126.0,620.0,1120.0,2330.0
1,18,7,AO,122.0,460.0,720.0,2180.0
1,18,7,AO,118.0,470.0,690.0,2200.0
1,18,8,UH,129.0,320.0,770.0,1860.0
1,18,9,UW,140.0,210.0,670.0,1900.0
1,18,9,UW,148.0,240.0,730.0,1850.0
1,18,10,ER,128.0,390.0,1320.0,1550.0
1,18,10,ER,124.0,420.0,1240.0,1510.0
1,19,1,IY,129.0,190.0,2650.0,3280.0
1,19,1,IY,135.0,190.0,2700.0,3170.0
1,19,2,IH,132.0,370.0,1750.0,2700.0
1,19,2,IH,130.0,370.0,1800.0,2750.0
1,19,7,AO,121.0,570.0,820.0,2820.0
1,19,9,UW,130.0,250.0,1000.0,2100.0
1,19,9,UW,140.0,210.0,960.0,1940.0
1,19,10,ER,130.0,360.0,1300.0,1920.0
1,19,10,ER,133.0,370.0,1300.0,1760.0
1,20,1,IY,127.0,250.0,2180.0,2660.0
1,20,1,IY,131.0,260.0,2210.0,2780.0
1,20,2,IH,121.0,400.0,1900.0,2440.0
1,20,2,IH,122.0,350.0,1980.0,2480.0
1,20,4,AE,120.0,680.0,1470.0,2280.0
1,20,4,AE,119.0,620.0,1580.0,2320.0
1,20,5,AH,120.0,620.0,1100.0,2390.0
1,20,7,AO,112.0,560.0,790.0,2480.0
1,20,7,AO,120.0,610.0,840.0,2420.0
1,20,8,UH,121.0,360.0,860.0,2200.0
1,20,8,UH,120.0,400.0,840.0,2200.0
1,20,9,UW,140.0,280.0,670.0,2140.0
1,20,9,UW,126.0,250.0,720.0,2190.0
1,20,10,ER,120.0,480.0,1410.0,1760.0
1,20,10,ER,121.0,470.0,1330.0,1700.0
1,21,1,IY,155.0,280.0,2400.0,2910.0
1,21,1,IY,150.0,300.0,2320.0,2960.0
1,21,2,IH,150.0,450.0,2050.0,2670.0
1,21,3,EH,135.0,540.0,1900.0,2530.0
1,21,3,EH,135.0,540.0,1920.0,2520.0
1,21,4,AE,138.0,620.0,1800.0,2440.0
1,21,4,AE,140.0,690.0,1820.0,2480.0
1,21,5,AH,140.0,680.0,1290.0,2600.0
1,21,6,AA,145.0,740.0,1110.0,2500.0
1,21,7,AO,138.0,650.0,880.0,2660.0
1,21,8,UH,142.0,430.0,1130.0,2440.0
1,21,8,UH,143.0,430.0,1150.0,2420.0
1,21,9,UW,142.0,280.0,990.0,2330.0
1,21,9,UW,145.0,290.0,1000.0,2300.0
1,21,10,ER,150.0,420.0,1350.0,1600.0
1,21,10,ER,150.0,450.0,1350.0,1600.0
1,22,1,IY,135.0,300.0,2300.0,2800.0
1,22,1,IY,135.0,350.0,2240.0,2760.0
1,22,4,AE,130.0,760.0,1920.0,2480.0
1,22,4,AE,132.0,670.0,1850.0,2560.0
1,22,6,AA,125.0,750.0,1160.0,2080.0
1,22,8,UH,140.0,550.0,970.0,2200.0
1,22,9,UW,150.0,300.0,600.0,2300.0
1,22,9,UW,148.0,230.0,570.0,2100.0
1,22,10,ER,140.0,560.0,1520.0,2100.0
1,22,10,ER,140.0,540.0,1570.0,2050.0
1,23,1,IY,125.0,240.0,2100.0,2900.0
1,23,1,IY,119.0,240.0,2150.0,2860.0
1,23,2,IH,130.0,380.0,1870.0,2450.0
1,23,2,IH,120.0,430.0,1710.0,2350.0
1,23,4,AE,110.0,715.0,1500.0,2300.0
1,23,6,AA,119.0,710.0,950.0,2520.0
1,23,7,AO,125.0,460.0,610.0,2500.0
1,23,7,AO,120.0,470.0,710.0,2500.0
1,23,8,UH,125.0,390.0,900.0,2100.0
1,23,8,UH,125.0,460.0,920.0,2140.0
1,23,9,UW,125.0,250.0,690.0,2080.0
1,23,9,UW,130.0,270.0,650.0,2050.0
1,23,10,ER,122.0,540.0,1280.0,1720.0
1,23,10,ER,118.0,510.0,1280.0,1650.0
1,24,1,IY,148.0,280.0,2450.0,2700.0
1,24,1,IY,160.0,288.0,2500.0,2880.0
1,24,2,IH,160.0,400.0,2080.0,2530.0
1,24,2,IH,153.0,384.0,2110.0,2500.0
1,24,4,AE,145.0,680.0,1850.0,2400.0
1,24,4,AE,140.0,685.0,1780.0,2160.0
1,24,5,AH,143.0,660.0,1370.0,2110.0
1,24,6,AA,135.0,770.0,1140.0,2020.0
1,24,7,AO,145.0,500.0,800.0,1850.0
1,24,7,AO,132.0,600.0,1000.0,2000.0
1,24,8,UH,157.0,380.0,1060.0,1950.0
1,24,8,UH,150.0,470.0,1220.0,2150.0
1,24,9,UW,162.0,324.0,800.0,2220.0
1,24,9,UW,139.0,290.0,800.0,2150.0
1,24,10,ER,150.0,560.0,1350.0,1780.0
1,24,10,ER,150.0,600.0,1470.0,1820.0
1,25,1,IY,110.0,250.0,2190.0,3000.0
1,25,1,IY,106.0,254.0,2085.0,2890.0
1,25,2,IH,111.0,330.0,1967.0,2670.0
1,25,2,IH,108.0,430.0,1940.0,2590.0
1,25,3,EH,116.0,464.0,2100.0,2700.0
1,25,3,EH,105.0,504.0,1995.0,2780.0
1,25,4,AE,94.0,595.0,1900.0,2700.0
1,25,4,AE,100.0,670.0,1860.0,2500.0
1,25,5,AH,96.0,620.0,1200.0,2420.0
1,25,5,AH,105.0,630.0,1127.0,2420.0
1,25,6,AA,100.0,750.0,1160.0,2360.0
1,25,6,AA,96.0,740.0,1155.0,2330.0
1,25,7,AO,101.0,460.0,740.0,2300.0
1,25,8,UH,113.0,400.0,1020.0,2200.0
1,25,8,UH,128.0,450.0,1028.0,2160.0
1,25,9,UW,140.0,392.0,1000.0,2120.0
1,25,9,UW,116.0,350.0,898.0,2140.0
1,25,10,ER,117.0,547.0,1340.0,1688.0
1,25,10,ER,128.0,512.0,1280.0,1570.0
1,26,1,IY,123.0,246.0,2185.0,2730.0
1,26,1,IY,133.0,267.0,2280.0,2800.0
1,26,2,IH,140.0,420.0,2300.0,2800.0
1,26,2,IH,120.0,384.0,2110.0,2620.0
1,26,3,EH,120.0,480.0,1920.0,2540.0
1,26,4,AE,114.0,628.0,1837.0,2570.0
1,26,5,AH,114.0,628.0,1254.0,2470.0
1,26,5,AH,114.0,617.0,1255.0,2480.0
1,26,7,AO,117.0,510.0,700.0,2650.0
1,26,7,AO,120.0,504.0,756.0,2540.0
1,26,8,UH,122.0,465.0,990.0,2440.0
1,26,8,UH,125.0,462.0,976.0,2450.0
1,26,9,UW,120.0,324.0,708.0,2440.0
1,26,9,UW,157.0,387.0,786.0,2518.0
1,26,10,ER,122.0,488.0,1468.0,1712.0
1,26,10,ER,118.0,472.0,1465.0,1725.0
1,27,1,IY,138.0,275.0,2060.0,2800.0
1,27,1,IY,136.0,270.0,2020.0,2790.0
1,27,2,IH,133.0,349.0,2030.0,2760.0
1,27,2,IH,136.0,340.0,1940.0,2560.0
1,27,4,AE,125.0,688.0,1600.0,2300.0
1,27,4,AE,122.0,660.0,1570.0,2380.0
1,27,5,AH,130.0,550.0,1150.0,2250.0
1,27,6,AA,125.0,712.0,1024.0,2250.0
1,27,6,AA,125.0,670.0,1080.0,2300.0
1,27,7,AO,125.0,550.0,913.0,2360.0
1,27,7,AO,126.0,550.0,890.0,2280.0
1,27,8,UH,128.0,360.0,1028.0,2160.0
1,27,9,UW,133.0,294.0,930.0,2050.0
1,27,9,UW,140.0,280.0,1000.0,2160.0
1,27,10,ER,125.0,440.0,1250.0,1625.0
1,27,10,ER,130.0,480.0,1160.0,1520.0
1,28,1,IY,125.0,320.0,2160.0,2900.0
1,28,1,IY,133.0,267.0,2230.0,3000.0
1,28,2,IH,115.0,440.0,1750.0,2400.0
1,28,2,IH,116.0,390.0,1780.0,2450.0
1,28,3,EH,117.0,525.0,1800.0,2480.0
1,28,3,EH,110.0,520.0,1750.0,2390.0
1,28,4,AE,111.0,660.0,1600.0,2400.0
1,28,4,AE,120.0,720.0,1680.0,2430.0
1,28,5,AH,117.0,600.0,1250.0,2300.0
1,28,6,AA,117.0,860.0,1280.0,2470.0
1,28,7,AO,114.0,560.0,810.0,2290.0
1,28,7,AO,116.0,584.0,840.0,2280.0
1,28,8,UH,130.0,455.0,970.0,2140.0
1,28,8,UH,120.0,456.0,1040.0,2038.0
1,28,9,UW,125.0,350.0,820.0,2130.0
1,28,9,UW,128.0,366.0,772.0,2058.0
1,28,10,ER,118.0,472.0,1430.0,1840.0
1,29,1,IY,133.0,333.0,2305.0,3200.0
1,29,1,IY,131.0,326.0,2260.0,3030.0
1,29,4,AE,116.0,640.0,1710.0,2450.0
1,29,4,AE,123.0,615.0,1720.0,2220.0
1,29,5,AH,116.0,583.0,1110.0,2360.0
1,29,6,AA,111.0,777.0,1170.0,2600.0
1,29,6,AA,114.0,750.0,1175.0,2820.0
1,29,8,UH,125.0,438.0,975.0,2300.0
1,29,8,UH,140.0,420.0,938.0,2300.0
1,29,9,UW,133.0,333.0,800.0,2130.0
1,29,9,UW,140.0,320.0,840.0,2150.0
1,29,10,ER,120.0,480.0,1320.0,1870.0
1,29,10,ER,127.0,483.0,1335.0,1844.0
1,30,1,IY,166.0,267.0,2300.0,2940.0
1,30,1,IY,156.0,220.0,2300.0,2900.0
1,30,2,IH,154.0,431.0,2040.0,2460.0
1,30,2,IH,155.0,360.0,2010.0,2400.0
1,30,3,EH,180.0,540.0,2000.0,2450.0
1,30,4,AE,138.0,590.0,1950.0,2460.0
1,30,6,AA,155.0,730.0,1130.0,2320.0
1,30,8,UH,196.0,450.0,1000.0,2180.0
1,30,9,UW,167.0,333.0,835.0,2170.0
1,30,9,UW,198.0,280.0,750.0,2170.0
1,30,10,ER,163.0,488.0,1300.0,1600.0
1,30,10,ER,163.0,490.0,1380.0,1620.0
1,31,1,IY,120.0,312.0,2380.0,2900.0
1,31,1,IY,120.0,300.0,2350.0,3000.0
1,31,2,IH,140.0,490.0,2000.0,2620.0
1,31,3,EH,125.0,640.0,2000.0,2620.0
1,31,3,EH,111.0,555.0,1870.0,2540.0
1,31,4,AE,112.0,697.0,1610.0,2540.0
1,31,4,AE,114.0,684.0,1634.0,2510.0
1,31,5,AH,115.0,633.0,1260.0,2530.0
1,31,6,AA,112.0,730.0,1203.0,2700.0
1,31,6,AA,107.0,752.0,1125.0,2620.0
1,31,7,AO,108.0,507.0,755.0,2420.0
1,31,7,AO,116.0,538.0,816.0,2450.0
1,31,8,UH,114.0,456.0,1040.0,2300.0
1,31,8,UH,120.0,480.0,1120.0,2160.0
1,31,9,UW,125.0,350.0,1000.0,2250.0
1,31,10,ER,112.0,539.0,1370.0,1800.0
1,31,10,ER,117.0,549.0,1353.0,1728.0
1,32,1,IY,146.0,292.0,2500.0,3150.0
1,32,1,IY,133.0,266.0,2370.0,3100.0
1,32,2,IH,143.0,372.0,2220.0,2640.0
1,32,2,IH,131.0,350.0,2130.0,2610.0
1,32,4,AE,125.0,650.0,1738.0,2400.0
1,32,4,AE,130.0,663.0,1820.0,2400.0
1,32,5,AH,137.0,600.0,1370.0,2180.0
1,32,6,AA,133.0,735.0,1070.0,2100.0
1,32,6,AA,117.0,713.0,1180.0,2200.0
1,32,7,AO,125.0,625.0,875.0,2180.0
1,32,8,UH,150.0,420.0,1100.0,2000.0
1,32,8,UH,140.0,420.0,1120.0,2100.0
1,32,9,UW,125.0,350.0,980.0,2200.0
1,32,9,UW,133.0,320.0,918.0,2100.0
1,32,10,ER,143.0,554.0,1480.0,1800.0
1,32,10,ER,128.0,484.0,1505.0,1890.0
1,33,1,IY,143.0,286.0,2415.0,2860.0
1,33,1,IY,150.0,300.0,2415.0,2860.0
1,33,3,EH,144.0,553.0,1935.0,2530.0
1,33,4,AE,133.0,640.0,1773.0,2490.0
1,33,4,AE,133.0,640.0,1840.0,2560.0
1,33,5,AH,143.0,672.0,1272.0,2640.0
1,33,5,AH,146.0,658.0,1241.0,2560.0
1,33,6,AA,130.0,780.0,1170.0,2640.0
1,33,6,AA,131.0,788.0,1115.0,2645.0
1,33,8,UH,175.0,490.0,1102.0,2420.0
1,33,8,UH,154.0,492.0,1077.0,2306.0
1,33,9,UW,160.0,320.0,960.0,2290.0
1,33,10,ER,143.0,543.0,1310.0,1643.0
1,33,10,ER,145.0,508.0,1309.0,1600.0
2,34,1,IY,234.0,390.0,2760.0,3060.0
2,34,2,IH,234.0,468.0,2330.0,2930.0
2,34,2,IH,205.0,410.0,2380.0,2950.0
2,34,3,EH,190.0,550.0,2200.0,2880.0
2,34,3,EH,191.0,570.0,2100.0,3040.0
2,34,4,AE,200.0,800.0,1980.0,2810.0
2,34,4,AE,192.0,860.0,1920.0,2850.0
2,34,5,AH,227.0,635.0,1200.0,3250.0
2,34,5,AH,200.0,700.0,1200.0,3100.0
2,34,6,AA,188.0,830.0,1200.0,2880.0
